Name	ID	NumProbes	NumGenes	ROC	Pval	CorrectedPvalue	Same as	GeneMembers
positive regulation of cytokine-mediated signaling pathway	GO:0001961	21	21	0.46036278	0.7352604	1	GO:0060760|positive regulation of response to cytokine stimulus, 	
positive regulation of response to cytokine stimulus	GO:0060760	21	21	0.46036278	0.7352604	1	GO:0001961|positive regulation of cytokine-mediated signaling pathway, 	
vitamin transport	GO:0051180	20	20	0.45936	0.73538027	1		
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	GO:0035872	34	34	0.4687937	0.73553777	1		
double-strand break repair via homologous recombination	GO:0000724	42	42	0.47186786	0.73588963	1		
recombinational repair	GO:0000725	42	42	0.47186786	0.73588963	1		
viral genome replication	GO:0019079	11	11	0.44497985	0.73627493	1		
positive regulation of nucleocytoplasmic transport	GO:0046824	84	84	0.47999271	0.73681981	1		
MHC class I protein complex	GO:0042612	11	11	0.44468731	0.73737156	1		
response to dietary excess	GO:0002021	12	12	0.44702674	0.73742548	1		
response to antibiotic	GO:0046677	37	37	0.46980251	0.73747057	1		
replisome	GO:0030894	18	18	0.45672113	0.73751405	1		
cardiac muscle cell differentiation	GO:0055007	63	63	0.47680246	0.73780313	1		
regulation of TOR signaling	GO:0032006	31	31	0.46692127	0.73805513	1		
regulation of epithelial cell apoptotic process	GO:1904035	30	30	0.46633842	0.73829007	1		
positive regulation of mesenchymal cell proliferation	GO:0002053	35	35	0.46882959	0.73829743	1		
pyrimidine ribonucleoside biosynthetic process	GO:0046132	18	18	0.45655409	0.73830512	1		
positive regulation of steroid metabolic process	GO:0045940	18	18	0.45652035	0.73846641	1		
late endosome	GO:0005770	134	132	0.48386172	0.73881273	1		
peptide secretion	GO:0002790	42	42	0.47142394	0.73913913	1		
cortical actin cytoskeleton organization	GO:0030866	17	17	0.45503916	0.73950449	1		
cellular response to heat	GO:0034605	23	23	0.46129542	0.73973884	1		
ciliary membrane	GO:0060170	51	51	0.47393338	0.7401586	1		
amino sugar catabolic process	GO:0046348	13	13	0.44842211	0.74019086	1		
viral process	GO:0016032	507	505	0.49157734	0.74070722	1		
secretory granule membrane	GO:0030667	49	49	0.47330122	0.74099895	1		
negative regulation of catabolic process	GO:0009895	121	121	0.48296061	0.74114228	1		
positive regulation of wound healing	GO:0090303	38	38	0.46963353	0.74140487	1		
apicolateral plasma membrane	GO:0016327	10	10	0.44079291	0.74162546	1		
folic acid-containing compound metabolic process	GO:0006760	21	21	0.45912313	0.74165112	1		
regulation of DNA binding	GO:0051101	58	58	0.47536046	0.74178919	1		
tetrahydrofolate metabolic process	GO:0046653	14	14	0.44991281	0.74180129	1		
alpha-beta T cell differentiation	GO:0046632	32	32	0.46683499	0.74191092	1		
neutral lipid biosynthetic process	GO:0046460	40	39	0.46993394	0.7420317	1	GO:0046463|acylglycerol biosynthetic process, 	
acylglycerol biosynthetic process	GO:0046463	40	39	0.46993394	0.7420317	1	GO:0046460|neutral lipid biosynthetic process, 	
Wnt signaling pathway, planar cell polarity pathway	GO:0060071	18	18	0.45574757	0.74214598	1	GO:0090175|regulation of establishment of planar polarity, 	
regulation of establishment of planar polarity	GO:0090175	18	18	0.45574757	0.74214598	1	GO:0060071|Wnt signaling pathway, planar cell polarity pathway, 	
middle ear morphogenesis	GO:0042474	23	23	0.46083839	0.74219511	1		
sex determination	GO:0007530	17	17	0.45440319	0.74244351	1		
folic acid metabolic process	GO:0046655	10	10	0.44053488	0.74252746	1		
lipoxygenase pathway	GO:0019372	11	11	0.44325771	0.74269679	1		
rRNA transcription	GO:0009303	18	18	0.45560246	0.74283389	1		
regulation of neurological system process	GO:0031644	38	38	0.46936786	0.74323437	1		
multicellular organismal metabolic process	GO:0044236	78	77	0.47842623	0.7435189	1		
embryonic placenta development	GO:0001892	74	74	0.4779729	0.74372925	1		
mitochondrial genome maintenance	GO:0000002	14	14	0.44940097	0.74393991	1		
release of cytochrome c from mitochondria	GO:0001836	24	24	0.46129813	0.74418258	1		
cellular response to light stimulus	GO:0071482	70	70	0.47727047	0.74452009	1		
glycogen metabolic process	GO:0005977	42	42	0.47064617	0.74477324	1		
cellular glucan metabolic process	GO:0006073	42	42	0.47064617	0.74477324	1	GO:0044042|glucan metabolic process, 	
glucan metabolic process	GO:0044042	42	42	0.47064617	0.74477324	1	GO:0006073|cellular glucan metabolic process, 	
positive regulation of epidermal growth factor-activated receptor activity	GO:0045741	10	10	0.43990043	0.74477529	1		
response to fatty acid	GO:0070542	39	39	0.46952146	0.74490797	1		
organelle disassembly	GO:1903008	13	13	0.44724968	0.7449145	1		
cardiocyte differentiation	GO:0035051	83	83	0.47905673	0.74513572	1		
regulation of G2/M transition of mitotic cell cycle	GO:0010389	31	31	0.46568879	0.74573484	1	GO:1902749|regulation of cell cycle G2/M phase transition, 	
regulation of cell cycle G2/M phase transition	GO:1902749	31	31	0.46568879	0.74573484	1	GO:0010389|regulation of G2/M transition of mitotic cell cycle, 	
dynein complex	GO:0030286	32	32	0.46622705	0.74574165	1		
negative regulation of striated muscle tissue development	GO:0045843	26	26	0.46251549	0.7458753	1		
negative regulation of cytokine secretion	GO:0050710	25	25	0.46175741	0.745969	1		
mesonephric tubule morphogenesis	GO:0072171	46	45	0.47145156	0.74616801	1		
camera-type eye photoreceptor cell differentiation	GO:0060219	12	12	0.44472949	0.74632975	1		
actin filament bundle	GO:0032432	46	46	0.47167233	0.74684678	1		
heart trabecula formation	GO:0060347	14	14	0.44865922	0.74702261	1		
organelle envelope lumen	GO:0031970	49	49	0.47252002	0.7470843	1		
determination of bilateral symmetry	GO:0009855	82	82	0.47864757	0.74796863	1		
plasma lipoprotein particle assembly	GO:0034377	12	12	0.44427915	0.74805653	1		
amine metabolic process	GO:0009308	116	116	0.48194396	0.74897158	1		
2'-deoxyribonucleotide metabolic process	GO:0009394	25	25	0.46115216	0.74931425	1		
negative regulation of developmental process	GO:0051093	584	583	0.49181451	0.74933809	1		
A band	GO:0031672	28	28	0.46309618	0.75043613	1		
diol metabolic process	GO:0034311	10	10	0.43827636	0.75044464	1		
erythrocyte homeostasis	GO:0034101	64	64	0.47548083	0.75116299	1		
face development	GO:0060324	32	31	0.46475929	0.75144313	1		
regulation of homotypic cell-cell adhesion	GO:0034110	219	219	0.48665545	0.75159405	1		
kinesin complex	GO:0005871	41	41	0.46932081	0.75163053	1		
regulation of anoikis	GO:2000209	16	16	0.45081992	0.75209831	1		
ameboidal-type cell migration	GO:0001667	105	103	0.48054044	0.7523723	1		
response to cold	GO:0009409	27	27	0.46205358	0.75252439	1		
negative regulation of B cell activation	GO:0050869	26	26	0.46128836	0.7527672	1		
bone development	GO:0060348	123	123	0.48212654	0.75304014	1		
homeostasis of number of cells	GO:0048872	135	135	0.48292594	0.75312842	1		
cell division	GO:0051301	166	166	0.48458677	0.75314453	1		
multi-organism reproductive behavior	GO:0044705	23	23	0.45876196	0.75320143	1		
artery development	GO:0060840	46	46	0.47078676	0.75344188	1		
cellular response to molecule of bacterial origin	GO:0071219	93	92	0.4792693	0.75391183	1		
protein import	GO:0017038	103	102	0.48027125	0.75429389	1		
Rap protein signal transduction	GO:0032486	10	10	0.43714407	0.75437511	1		
detection of visible light	GO:0009584	87	87	0.478602	0.75475545	1		
regulation of catenin import into nucleus	GO:0035412	20	20	0.45533382	0.75538202	1		
enteric nervous system development	GO:0048484	12	12	0.44233611	0.75543517	1		
peptide hormone secretion	GO:0030072	40	40	0.4683459	0.75573332	1		
AP-type membrane coat adaptor complex	GO:0030119	32	32	0.46456851	0.7560388	1		
multicellular organismal catabolic process	GO:0044243	64	64	0.47488598	0.75634901	1		
odontogenesis of dentin-containing tooth	GO:0042475	66	66	0.47521899	0.75677544	1		
organelle localization	GO:0051640	208	207	0.48588647	0.75770984	1		
vitamin biosynthetic process	GO:0009110	14	14	0.44602191	0.75782319	1		
peptidyl-serine phosphorylation	GO:0018105	62	62	0.47429512	0.75797212	1		
drug transmembrane transport	GO:0006855	10	10	0.43600874	0.75827208	1		
regulation of mitotic cell cycle	GO:0007346	305	305	0.48828663	0.75866836	1		
response to growth hormone	GO:0060416	28	28	0.46164399	0.75880335	1		
response to organophosphorus	GO:0046683	102	102	0.47985524	0.75883907	1		
body morphogenesis	GO:0010171	36	36	0.46614135	0.75895609	1		
microtubule associated complex	GO:0005875	105	105	0.48012946	0.75899161	1		
protein targeting to mitochondrion	GO:0006626	42	42	0.46857285	0.7594706	1		
positive regulation of positive chemotaxis	GO:0050927	22	22	0.45659739	0.75950675	1		
regulation of DNA-dependent DNA replication	GO:0090329	27	27	0.46081556	0.75950791	1		
positive regulation of cytoplasmic transport	GO:1903651	119	119	0.48123136	0.76011088	1		
regulation of chemokine production	GO:0032642	46	46	0.46984431	0.76036815	1		
neuromuscular process controlling balance	GO:0050885	48	47	0.47016111	0.76039894	1		
regulation of positive chemotaxis	GO:0050926	23	23	0.45737239	0.76042404	1		
epithelial cell development	GO:0002064	130	129	0.48194185	0.76042913	1		
integral component of lumenal side of endoplasmic reticulum membrane	GO:0071556	22	22	0.45629636	0.76102527	1	GO:0098553|lumenal side of endoplasmic reticulum membrane, GO:0098576|lumenal side of membrane, 	
lumenal side of endoplasmic reticulum membrane	GO:0098553	22	22	0.45629636	0.76102527	1	GO:0071556|integral component of lumenal side of endoplasmic reticulum membrane, GO:0098576|lumenal side of membrane, 	
lumenal side of membrane	GO:0098576	22	22	0.45629636	0.76102527	1	GO:0071556|integral component of lumenal side of endoplasmic reticulum membrane, GO:0098553|lumenal side of endoplasmic reticulum membrane, 	
gamma-tubulin complex	GO:0000930	11	11	0.43812993	0.76132591	1		
regulation of protein ubiquitination	GO:0031396	177	177	0.48449758	0.76133069	1		
positive regulation of calcium ion-dependent exocytosis	GO:0045956	11	11	0.43806922	0.76154198	1		
cellular response to biotic stimulus	GO:0071216	102	101	0.47949111	0.7616961	1		
cardiac septum morphogenesis	GO:0060411	40	40	0.46746244	0.76175987	1		
branching involved in ureteric bud morphogenesis	GO:0001658	39	38	0.46656872	0.7620931	1		
glycogen biosynthetic process	GO:0005978	19	19	0.45269169	0.76235745	1	GO:0009250|glucan biosynthetic process, 	
glucan biosynthetic process	GO:0009250	19	19	0.45269169	0.76235745	1	GO:0005978|glycogen biosynthetic process, 	
cardiac muscle cell development	GO:0055013	38	38	0.4664999	0.76254699	1		
regulation of granulocyte differentiation	GO:0030852	11	11	0.43773804	0.76271867	1		
pyrimidine ribonucleotide biosynthetic process	GO:0009220	19	19	0.45245989	0.76343021	1		
cell recognition	GO:0008037	83	83	0.47720299	0.76350237	1		
mitochondrial electron transport, NADH to ubiquinone	GO:0006120	33	33	0.46390093	0.76350456	1		
positive regulation of production of molecular mediator of immune response	GO:0002702	41	41	0.46759985	0.76354549	1		
extracellular space	GO:0005615	936	928	0.49299268	0.76372051	1		
nephron tubule formation	GO:0072079	16	16	0.44802042	0.76419204	1		
venous blood vessel development	GO:0060841	14	14	0.44440396	0.7643234	1		
benzene-containing compound metabolic process	GO:0042537	18	18	0.45090675	0.7645774	1		
hemopoiesis	GO:0030097	354	354	0.48872053	0.76644765	1		
anchored component of external side of plasma membrane	GO:0031362	16	16	0.44743395	0.76669346	1		
response to purine-containing compound	GO:0014074	111	111	0.4799251	0.76735428	1		
mitochondrial respiratory chain complex I	GO:0005747	32	32	0.46264021	0.76772224	1	GO:0030964|NADH dehydrogenase complex, GO:0045271|respiratory chain complex I, 	
NADH dehydrogenase complex	GO:0030964	32	32	0.46264021	0.76772224	1	GO:0045271|respiratory chain complex I, GO:0005747|mitochondrial respiratory chain complex I, 	
respiratory chain complex I	GO:0045271	32	32	0.46264021	0.76772224	1	GO:0030964|NADH dehydrogenase complex, GO:0005747|mitochondrial respiratory chain complex I, 	
B cell homeostasis	GO:0001782	18	18	0.45020484	0.767737	1		
bone resorption	GO:0045453	17	17	0.44871877	0.76792864	1		
apical plasma membrane	GO:0016324	207	207	0.4851819	0.76848158	1		
regulation of phagocytosis	GO:0050764	38	38	0.46556285	0.7686745	1		
cell projection cytoplasm	GO:0032838	59	59	0.47231958	0.76888276	1		
subpallium development	GO:0021544	20	19	0.45122579	0.76913567	1		
cell-substrate adherens junction assembly	GO:0007045	18	18	0.44969865	0.77000084	1	GO:0048041|focal adhesion assembly, 	
focal adhesion assembly	GO:0048041	18	18	0.44969865	0.77000084	1	GO:0007045|cell-substrate adherens junction assembly, 	
regulation of lamellipodium organization	GO:1902743	17	17	0.4480828	0.77068992	1		
positive regulation of neutrophil migration	GO:1902624	16	16	0.44644511	0.77085612	1		
regulation of collagen metabolic process	GO:0010712	24	24	0.45624962	0.77092763	1		
regulation of mRNA catabolic process	GO:0061013	14	14	0.44270793	0.77103271	1		
protein demethylation	GO:0006482	16	16	0.44616991	0.77201733	1	GO:0008214|protein dealkylation, 	
protein dealkylation	GO:0008214	16	16	0.44616991	0.77201733	1	GO:0006482|protein demethylation, 	
epithelial cell morphogenesis	GO:0003382	31	31	0.46126287	0.77228983	1		
protein modification by small protein removal	GO:0070646	83	83	0.47626951	0.77247144	1		
negative regulation of T cell receptor signaling pathway	GO:0050860	13	13	0.44016367	0.77247969	1		
stereocilium bundle	GO:0032421	27	27	0.45841831	0.77271999	1		
regulation of excretion	GO:0044062	19	19	0.45044089	0.77273132	1		
trans-Golgi network transport vesicle	GO:0030140	20	20	0.45167365	0.77282766	1		
posttranscriptional gene silencing	GO:0016441	21	21	0.45282937	0.77286359	1	GO:0035194|posttranscriptional gene silencing by RNA, 	
posttranscriptional gene silencing by RNA	GO:0035194	21	21	0.45282937	0.77286359	1	GO:0016441|posttranscriptional gene silencing, 	
very-low-density lipoprotein particle	GO:0034361	14	14	0.44222644	0.77291769	1	GO:0034385|triglyceride-rich lipoprotein particle, 	
triglyceride-rich lipoprotein particle	GO:0034385	14	14	0.44222644	0.77291769	1	GO:0034361|very-low-density lipoprotein particle, 	
positive regulation of endocytosis	GO:0045807	73	72	0.47446566	0.77303432	1		
regulation of DNA biosynthetic process	GO:2000278	23	23	0.45487856	0.77309181	1		
response to nutrient levels	GO:0031667	266	264	0.48657565	0.7732172	1		
purine ribonucleotide catabolic process	GO:0009154	26	26	0.45752285	0.77327666	1		
embryonic heart tube development	GO:0035050	59	59	0.47176277	0.77336516	1		
mitochondrial transmembrane transport	GO:1990542	28	26	0.4574948	0.77342574	1		
protein transmembrane transport	GO:0071806	30	30	0.46034081	0.77390598	1		
response to dexamethasone	GO:0071548	11	11	0.43451454	0.77400354	1		
dermatan sulfate biosynthetic process	GO:0030208	10	10	0.43129136	0.774099	1		
oligodendrocyte differentiation	GO:0048709	44	43	0.4667857	0.7744181	1		
intrinsic apoptotic signaling pathway	GO:0097193	135	135	0.48118217	0.77465428	1		
positive regulation of steroid biosynthetic process	GO:0010893	10	10	0.43107583	0.77479786	1		
DNA polymerase complex	GO:0042575	14	14	0.44166255	0.77511414	1		
regulation of peptidyl-serine phosphorylation	GO:0033135	68	68	0.47347959	0.77517147	1		
fatty acid catabolic process	GO:0009062	53	52	0.46962922	0.77560717	1		
rough endoplasmic reticulum	GO:0005791	47	47	0.46797441	0.77620588	1		
positive regulation of glycogen biosynthetic process	GO:0045725	12	12	0.43667901	0.77623883	1		
sterol homeostasis	GO:0055092	46	46	0.46760691	0.77636191	1		
response to reactive oxygen species	GO:0000302	108	108	0.47881873	0.77636971	1		
plasma lipoprotein particle organization	GO:0071827	24	24	0.45513054	0.7766363	1		
intra-Golgi vesicle-mediated transport	GO:0006891	28	28	0.45835757	0.77716287	1		
positive regulation of collagen biosynthetic process	GO:0032967	17	17	0.44643929	0.77773979	1		
respiratory chain	GO:0070469	57	57	0.47069116	0.77791656	1		
coated vesicle	GO:0030135	151	151	0.48193793	0.77795516	1		
cell cycle arrest	GO:0007050	116	116	0.47938673	0.778262	1		
glycerophospholipid biosynthetic process	GO:0046474	154	153	0.48202955	0.77827904	1		
protein modification by small protein conjugation or removal	GO:0070647	495	494	0.48988646	0.77842664	1		
oligosaccharide biosynthetic process	GO:0009312	13	13	0.43844939	0.77888716	1		
glucocorticoid metabolic process	GO:0008211	16	16	0.44450349	0.77893029	1		
regulation of glycoprotein biosynthetic process	GO:0010559	18	18	0.44756592	0.77940228	1		
apoptotic cell clearance	GO:0043277	21	21	0.45142626	0.77951892	1		
maternal process involved in female pregnancy	GO:0060135	46	46	0.46714329	0.77960398	1		
cellular component maintenance	GO:0043954	16	16	0.44428712	0.77981899	1		
glycerolipid metabolic process	GO:0046486	242	240	0.48551236	0.77987654	1		
positive regulation of BMP signaling pathway	GO:0030513	20	20	0.45012606	0.77998067	1		
diacylglycerol metabolic process	GO:0046339	12	12	0.43559111	0.78012096	1		
single organism reproductive process	GO:0044702	772	771	0.49176729	0.78027276	1		
superoxide anion generation	GO:0042554	12	12	0.43547473	0.78053396	1		
regulation of fibroblast apoptotic process	GO:2000269	13	13	0.43797528	0.78063224	1		
regulation of establishment or maintenance of cell polarity	GO:0032878	10	10	0.4292757	0.78067868	1		
mammary gland morphogenesis	GO:0060443	42	42	0.46543498	0.78082124	1		
signal transduction involved in regulation of gene expression	GO:0023019	22	22	0.45226707	0.78083816	1		
positive regulation of actin cytoskeleton reorganization	GO:2000251	10	10	0.42916641	0.78103223	1		
metaphase plate congression	GO:0051310	13	13	0.43784216	0.78113184	1		
necrotic cell death	GO:0070265	14	14	0.43995784	0.78168046	1	GO:0097300|programmed necrotic cell death, 	
programmed necrotic cell death	GO:0097300	14	14	0.43995784	0.78168046	1	GO:0070265|necrotic cell death, 	
recycling endosome	GO:0055037	74	74	0.47383368	0.78170449	1		
negative regulation of MAP kinase activity	GO:0043407	62	62	0.47136087	0.78220944	1		
nucleobase-containing compound catabolic process	GO:0034655	280	280	0.48642864	0.7822839	1		
regulation of leukocyte proliferation	GO:0070663	147	147	0.48130918	0.78273795	1		
cellular response to amino acid stimulus	GO:0071230	31	31	0.45938818	0.78304893	1		
regulation of sensory perception of pain	GO:0051930	20	20	0.44943503	0.78314239	1	GO:0051931|regulation of sensory perception, 	
regulation of sensory perception	GO:0051931	20	20	0.44943503	0.78314239	1	GO:0051930|regulation of sensory perception of pain, 	
phosphatidylinositol biosynthetic process	GO:0006661	71	70	0.4729267	0.78317677	1		
biological phase	GO:0044848	53	53	0.46882623	0.78373484	1		
regulation of B cell differentiation	GO:0045577	16	16	0.44327361	0.78395447	1		
positive regulation of immune effector process	GO:0002699	110	110	0.47827089	0.78429905	1		
ovarian follicle development	GO:0001541	44	44	0.46566505	0.78461638	1		
response to increased oxygen levels	GO:0036296	11	11	0.43134073	0.78481181	1	GO:0055093|response to hyperoxia, 	
response to hyperoxia	GO:0055093	11	11	0.43134073	0.78481181	1	GO:0036296|response to increased oxygen levels, 	
carbohydrate derivative catabolic process	GO:1901136	151	150	0.4812959	0.78520567	1		
positive regulation of signal transduction by p53 class mediator	GO:1901798	12	12	0.43398709	0.78577374	1		
cranial nerve morphogenesis	GO:0021602	16	16	0.44279153	0.78590564	1		
motile cilium	GO:0031514	49	48	0.46676784	0.787096	1		
positive regulation of translation	GO:0045727	42	42	0.46447328	0.78713853	1		
protein-lipid complex assembly	GO:0065005	14	14	0.43847435	0.78730369	1		
filopodium membrane	GO:0031527	11	11	0.43050174	0.787618	1		
membrane lipid biosynthetic process	GO:0046467	74	74	0.47307634	0.78827993	1		
positive regulation of membrane protein ectodomain proteolysis	GO:0051044	12	12	0.43322556	0.78841881	1		
pyrimidine-containing compound metabolic process	GO:0072527	65	65	0.47123023	0.78868669	1		
fibrinolysis	GO:0042730	14	14	0.43809697	0.78872055	1		
cardiac cell development	GO:0055006	40	40	0.46322456	0.78950554	1		
nitrogen compound transport	GO:0071705	358	354	0.48751296	0.78960503	1		
positive regulation of kidney development	GO:0090184	29	29	0.4567687	0.78980222	1		
positive regulation of protein ubiquitination	GO:0031398	119	119	0.47858894	0.78992161	1		
bicarbonate transport	GO:0015701	27	27	0.45506778	0.79047558	1		
cell differentiation involved in kidney development	GO:0061005	27	27	0.45506215	0.79051053	1		
negative regulation of ERK1 and ERK2 cascade	GO:0070373	26	26	0.4541991	0.79055323	1		
negative regulation of toll-like receptor signaling pathway	GO:0034122	17	17	0.44332376	0.79075868	1		
negative regulation of binding	GO:0051100	78	78	0.47348007	0.79085605	1		
positive regulation of nucleoside metabolic process	GO:0045979	10	10	0.42605792	0.79095075	1		
regulation of necrotic cell death	GO:0010939	10	10	0.42601239	0.7910845	1		
DNA-dependent DNA replication maintenance of fidelity	GO:0045005	11	11	0.42934261	0.79145958	1		
cytokine production	GO:0001816	95	95	0.4758841	0.79156429	1		
regulation of transcription factor import into nucleus	GO:0042990	66	66	0.47108797	0.79160449	1		
positive regulation of lipase activity	GO:0060193	75	74	0.47264722	0.79195562	1		
positive regulation of systemic arterial blood pressure	GO:0003084	13	13	0.4348083	0.79214001	1		
midbrain development	GO:0030901	66	65	0.47078273	0.79228024	1		
phospholipid transport	GO:0015914	35	35	0.46021438	0.79231258	1		
translesion synthesis	GO:0019985	10	10	0.42557222	0.79247626	1		
cellular response to ketone	GO:1901655	22	22	0.4497926	0.79252232	1		
endothelial cell proliferation	GO:0001935	18	18	0.44444782	0.79274314	1		
platelet alpha granule lumen	GO:0031093	46	45	0.46479679	0.79300903	1		
postreplication repair	GO:0006301	16	16	0.44098846	0.79311181	1		
mitochondrial transport	GO:0006839	106	104	0.47676209	0.79340925	1		
cell surface	GO:0009986	511	510	0.48935233	0.79387849	1		
cofactor catabolic process	GO:0051187	11	11	0.42857537	0.79397965	1		
cellular senescence	GO:0090398	21	21	0.44826998	0.79407444	1		
ammonium transport	GO:0015696	43	41	0.4629525	0.79408836	1		
placenta development	GO:0001890	119	119	0.47815624	0.79458424	1		
phosphatidylinositol metabolic process	GO:0046488	102	101	0.47630049	0.79460748	1		
determination of heart left/right asymmetry	GO:0061371	46	46	0.46491449	0.79478774	1		
positive regulation of inflammatory response	GO:0050729	75	75	0.47248974	0.79486052	1		
positive regulation of vasodilation	GO:0045909	24	23	0.45038226	0.79494821	1		
tRNA modification	GO:0006400	20	20	0.44675597	0.79512321	1		
regulation of transcription involved in G1/S transition of mitotic cell cycle	GO:0000083	19	19	0.445367	0.79515507	1		
endochondral bone growth	GO:0003416	16	16	0.44041338	0.79537219	1		
regulation of stem cell proliferation	GO:0072091	69	69	0.47119729	0.79589165	1		
transcription export complex	GO:0000346	10	10	0.42444296	0.79599755	1		
endocytic vesicle	GO:0030139	173	172	0.48169045	0.7960087	1		
regulation of mononuclear cell proliferation	GO:0032944	143	143	0.4799119	0.79630347	1		
nucleoside triphosphate catabolic process	GO:0009143	10	10	0.42432153	0.79637405	1		
negative regulation of intracellular signal transduction	GO:1902532	258	258	0.48498077	0.79647523	1		
neural plate development	GO:0001840	10	10	0.42420618	0.79673134	1		
negative regulation of innate immune response	GO:0045824	21	21	0.44760458	0.79706859	1		
morphogenesis of a polarized epithelium	GO:0001738	16	16	0.43988954	0.79742506	1		
regulation of transcription regulatory region DNA binding	GO:2000677	20	20	0.44617885	0.79765161	1		
positive regulation of DNA-dependent DNA replication	GO:2000105	10	10	0.42380548	0.79796955	1		
digestive system process	GO:0022600	40	40	0.46184006	0.79813697	1		
NAD metabolic process	GO:0019674	18	18	0.44311655	0.7982835	1		
post-embryonic development	GO:0009791	79	79	0.47272407	0.79892131	1		
positive regulation of triglyceride metabolic process	GO:0090208	12	12	0.43007064	0.79921521	1		
nucleoside phosphate catabolic process	GO:1901292	62	62	0.4691791	0.79928608	1		
brush border	GO:0005903	56	56	0.46753696	0.79956475	1		
response to immune response of other organism involved in symbiotic interaction	GO:0052564	11	11	0.42669868	0.80006723	1	GO:0052572|response to host immune response, 	
response to host immune response	GO:0052572	11	11	0.42669868	0.80006723	1	GO:0052564|response to immune response of other organism involved in symbiotic interaction, 	
regulation of cardiac muscle cell proliferation	GO:0060043	25	24	0.45004912	0.80151678	1		
positive regulation of chondrocyte differentiation	GO:0032332	16	16	0.4388096	0.80162552	1		
regulation of epidermis development	GO:0045682	46	46	0.46386357	0.80172167	1		
exocyst	GO:0000145	12	12	0.42923574	0.80201378	1		
specification of symmetry	GO:0009799	83	83	0.47300582	0.8022675	1		
forebrain cell migration	GO:0021885	40	40	0.46113983	0.80242751	1		
oxidoreduction coenzyme metabolic process	GO:0006733	80	78	0.47212635	0.80253525	1		
regulation of protein modification by small protein conjugation or removal	GO:1903320	189	189	0.48201896	0.80271819	1		
protein trimerization	GO:0070206	32	32	0.45647722	0.80289702	1		
methylation	GO:0032259	109	109	0.4763576	0.80294836	1		
response to glucose	GO:0009749	86	85	0.47323845	0.80301813	1		
regulation of organelle organization	GO:0033043	556	555	0.489362	0.803276	1		
phosphatidylcholine biosynthetic process	GO:0006656	25	25	0.45065994	0.80341967	1		
multivesicular body	GO:0005771	20	20	0.44465859	0.80421555	1		
pyrimidine nucleoside catabolic process	GO:0046135	18	18	0.44159968	0.80450159	1		
positive regulation of branching involved in ureteric bud morphogenesis	GO:0090190	14	14	0.43361615	0.80511689	1		
positive regulation of urine volume	GO:0035810	10	10	0.42145589	0.80513867	1		
histone mRNA catabolic process	GO:0071044	11	11	0.42500414	0.80546995	1		
amelogenesis	GO:0097186	11	11	0.42499862	0.8054874	1		
protein-lipid complex subunit organization	GO:0071825	26	26	0.45116285	0.80563679	1		
cellular response to glucocorticoid stimulus	GO:0071385	23	23	0.44795448	0.80621029	1		
regulation of T cell migration	GO:2000404	14	14	0.43328649	0.80629185	1		
regulation of hematopoietic progenitor cell differentiation	GO:1901532	20	20	0.44416044	0.80634005	1		
cytokine secretion	GO:0050663	26	26	0.45085197	0.80714291	1		
regulation of extracellular matrix organization	GO:1903053	10	10	0.42078805	0.80714782	1		
multicellular organism reproduction	GO:0032504	533	532	0.48894774	0.80748871	1		
heart looping	GO:0001947	43	43	0.46170529	0.80750166	1		
WASH complex	GO:0071203	13	12	0.42756087	0.80755638	1		
L-amino acid transport	GO:0015807	26	26	0.45076432	0.80756063	1		
positive regulation of neutrophil chemotaxis	GO:0090023	15	15	0.43517754	0.80764076	1		
negative regulation of striated muscle cell differentiation	GO:0051154	17	17	0.43895058	0.80825499	1		
regulation of cell adhesion mediated by integrin	GO:0033628	26	26	0.4506159	0.80828188	1		
positive regulation of small GTPase mediated signal transduction	GO:0051057	29	29	0.45317622	0.80858423	1		
protein processing	GO:0016485	157	157	0.4797951	0.80860663	1		
positive regulation of cell activation	GO:0050867	217	217	0.4827716	0.80875613	1		
chondroitin sulfate catabolic process	GO:0030207	13	13	0.43002747	0.80882796	1		
positive regulation of response to extracellular stimulus	GO:0032106	14	14	0.43254908	0.80890436	1	GO:0032109|positive regulation of response to nutrient levels, 	
positive regulation of response to nutrient levels	GO:0032109	14	14	0.43254908	0.80890436	1	GO:0032106|positive regulation of response to extracellular stimulus, 	
positive regulation of intracellular protein transport	GO:0090316	100	100	0.47466943	0.80915424	1		
urea cycle	GO:0000050	11	10	0.42007771	0.80927088	1		
axon regeneration	GO:0031103	12	12	0.42702704	0.80929459	1		
chromatoid body	GO:0033391	10	10	0.41996843	0.80959623	1		
nucleotide-sugar biosynthetic process	GO:0009226	15	15	0.4345763	0.80984491	1		
response to ketone	GO:1901654	89	88	0.47289794	0.81011813	1		
regulation of sterol transport	GO:0032371	25	25	0.44924283	0.81014351	1	GO:0032374|regulation of cholesterol transport, 	
regulation of cholesterol transport	GO:0032374	25	25	0.44924283	0.81014351	1	GO:0032371|regulation of sterol transport, 	
T cell proliferation	GO:0042098	31	31	0.45432689	0.81058535	1		
positive regulation of binding	GO:0051099	66	66	0.46863364	0.81082258	1		
adherens junction assembly	GO:0034333	23	23	0.4468872	0.81103951	1		
retina vasculature development in camera-type eye	GO:0061298	15	15	0.43420381	0.81119808	1		
